fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220606 192620	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	307	TRUE	999983	0.0118011668076405	0.783326745925956	952	335	0.0181740186817366	13364000	92
20220606 205608	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	76	TRUE	999983	0.130684681614365	0.212663240853759	7215	936	0.0148285517845488	13356000	124
20220606 191835	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	545	TRUE	999983	0.0136300293119491	0.974710821392109	3096	836	0.019580823021645	13352000	73
20220606 184354	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	640	TRUE	999983	0.010018187810196	0.25687430089995	3030	952	0.0164505755996287	13346000	37
20220606 184657	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	999983	0.0693112982767977	0.20112864622504	5919	173	0.0173256036637779	13340000	39
20220606 185411	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	999983	0.0879989560404728	0.211648867364351	8000	47	0.0159409827787264	13317000	48
20220606 204746	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	130	TRUE	999983	0.028346073948241	0.883495635382276	646	253	0.0157903706058749	13316000	117
20220606 183156	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	701	TRUE	999983	0.0100626353725206	0.332825796039974	7930	1024	0.0145704374657545	13314000	28
20220606 190841	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	999983	0.118415143818745	0.686698154428839	6658	16	0.0166830602478043	13292000	67
20220606 182012	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	91	TRUE	999983	0.0764065387082519	0.212725533638149	5452	882	0.0140717228365247	13287000	20
20220606 185354	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	174	TRUE	999983	0.0302222267292897	0.357299404153854	4534	762	0.0144641414709108	13270000	47
20220606 193646	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	324	TRUE	999983	0.0151538056432105	0.982632260201322	7997	526	0.0147081943190801	13253000	102
20220606 182417	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	815	TRUE	999983	0.0102870948078378	0.904087011634993	4363	934	0.015168663040661	13216000	24
20220606 204029	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	169	TRUE	999983	0.0121005741192425	0.998759234432655	758	511	0.0172367813765094	13210000	109
20220606 184749	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	241	TRUE	999983	0.0215135446934893	0.206506477682986	4571	520	0.0176118092357708	13200000	41
20220606 193028	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	479	TRUE	999983	0.0107396263826622	0.231802301853613	947	223	0.0179907001442129	13198000	95
20220606 190349	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	654	TRUE	999983	0.010040258140587	0.622617580182245	5052	263	0.0187481994909512	13186000	59
20220606 184025	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	39	TRUE	999983	0.150056860245835	0.219648855956058	7759	17	0.01982584860252	13183000	35
20220606 183813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	111	TRUE	999983	0.0498604524423728	0.384344193425449	4311	1024	0.0178737227529681	13182000	33
20220606 204216	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	565	TRUE	999983	0.010311096130806	0.219370287448158	984	214	0.0181109497658994	13176000	110
20220606 190751	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	999983	0.139432149126474	0.220711956422649	6044	16	0.0155005592809619	13169000	63
20220606 184852	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	187	TRUE	999983	0.0352406365184882	0.201164965092411	6276	16	0.0201032603114187	13157000	43
20220606 191715	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	752	TRUE	999983	0.0103130687298997	0.415338679657482	6996	793	0.0194208720787259	13135000	72
20220606 192137	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	185	TRUE	999983	0.0208347491086891	0.579304896846335	2268	772	0.0190295497168991	13127000	84
20220606 190512	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	829	TRUE	999983	0.0100738418993631	0.841124215818502	6050	269	0.0142105269571539	13120000	60
20220606 210141	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	999983	0.0878624682182088	0.719076247941323	3485	340	0.0153610305595123	13093000	132
20220606 192151	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	999983	0.0787442890065482	0.998544884986302	6413	152	0.0156859881065191	13090000	85
20220606 192700	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	170	TRUE	999983	0.0294288751870389	0.200390539227477	927	454	0.0195982671534994	13088000	93
20220606 204657	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	533	TRUE	999983	0.0100703640314546	0.939032560696244	7294	1023	0.0155482898989574	13077000	116
20220606 191854	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	999983	0.13807155338008	0.998971392176637	5551	712	0.0160883108984353	13056000	75
20220606 190739	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	132	TRUE	999983	0.0279748250116711	0.200133212699236	748	792	0.0195484232131882	13033000	62
20220606 205418	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1059	TRUE	999983	0.0102881567132717	0.383281277041655	5336	1013	0.0113592547824426	13018000	121
20220606 205809	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	232	TRUE	999983	0.0231655968266852	0.640026522036878	3649	22	0.0117626396983414	13006000	127
20220606 183337	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	627	TRUE	999983	0.0102631838590181	0.343398988202431	3657	1024	0.0115811281979494	13004000	29
20220606 205453	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	229	TRUE	999983	0.0286416421369285	0.595667599579049	7996	346	0.0146563357208424	12989000	122
20220606 185841	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	999983	0.20888239035841	0.200034023496443	5187	764	0.0200735633615962	12951000	54
20220606 181600	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	20	TRUE	999983	0.189177082767128	0.991002450613305	3622	964	0.0199677066343914	12945000	9
20220606 192012	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	999983	0.181121198016405	0.336384876940233	4822	1023	0.0168738893967808	12939000	79
20220606 191950	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	162	TRUE	999983	0.0345977350880232	0.380586981934419	1799	16	0.0161927245800308	12909000	77
20220606 192000	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	999983	0.299995649899922	0.999959836603363	7935	19	0.0147985537968384	12907000	78
20220606 181332	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	999983	0.160116781095509	0.592244770135731	6538	810	0.0182893792817291	12878000	1
20220606 192201	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	999983	0.299841410904433	0.466750526544613	7999	97	0.0205014429966994	12877000	86
20220606 190819	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	999983	0.100279841131944	0.210093408957759	3464	776	0.0197020623265616	12840000	65
20220606 183608	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	673	TRUE	999983	0.0104544509662501	0.999893476531575	7546	17	0.018099863766419	12830000	31
20220606 192244	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	999983	0.186315613443677	0.999999592299963	4857	952	0.0157818471973861	12808000	89
20220606 204415	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	351	TRUE	999983	0.017336811315916	0.997702008649266	4496	833	0.0196548160505717	12787000	113
20220606 191844	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	999983	0.195184967099947	0.797938354090737	7469	16	0.0154922932046673	12777000	74
20220606 184904	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	999983	0.230904142863295	0.248961208003223	7994	108	0.0167556255502054	12769000	44
20220606 192030	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	39	TRUE	999983	0.299925450492427	0.202672407764583	5089	16	0.0192950037433601	12761000	81
20220606 190830	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	999983	0.203682314040457	0.74229514835384	6160	1024	0.0138550352417416	12737000	66
20220606 185134	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	978	TRUE	999983	0.0100819574851244	0.460571367262682	3946	1023	0.0217730135958749	12716000	45
20220606 184708	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	999983	0.178404597891294	0.993128100266475	4303	47	0.0197181603635921	12697000	40
20220606 181357	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	999983	0.152214441090706	0.690020819446072	4472	851	0.0227033067625598	12696000	3
20220606 204554	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	672	TRUE	999983	0.0102125233072646	0.254821476128109	3974	17	0.0101139018471892	12682000	115
20220606 205820	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	999983	0.299973201276523	0.413742156223436	7996	1007	0.0144985478316287	12676000	128
20220606 192020	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	20	TRUE	999983	0.210639426484005	0.999502448418473	5363	1024	0.0209682380133769	12653000	80
20220606 193605	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	265	TRUE	999983	0.0292825643879963	0.997982439171659	3687	826	0.0112674547387345	12632000	101
20220606 182100	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	999983	0.155779452720424	0.204038701135294	3342	781	0.0159564809371195	12629000	22
20220606 185507	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	172	TRUE	999983	0.0709402398492206	0.200173069247904	8000	775	0.0122507994622956	12615000	51
20220606 193529	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	288	TRUE	999983	0.0210020213270268	0.961645034869529	4512	825	0.0196885839494961	12573000	100
20220606 193448	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	22	TRUE	999983	0.287812660687012	0.203640452761487	7990	457	0.0141919439773479	12546000	99
