fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220607 212641	0	0	0	1	auto	depthwise	256	0	1	0.0414958975669082	0.514087311617634	9	2	0.0134767426276242	246	13193000	57
20220607 154029	0	0	0	1	auto	depthwise	256	0	1	0.0102332689873528	0.203501039046841	9	30	0.0141877186337571	377	13190000	34
20220607 195018	0	0	0	1	auto	depthwise	256	0	1	0.0101090284483531	0.452835258454287	6	30	0.0132980779985994	114	13172000	48
20220607 204041	0	0	0	1	auto	depthwise	256	0	1	0.0114233311223311	0.201174491534179	9	7	0.0137485207336778	434	13154000	52
20220608 051115	0	0	0	1	auto	depthwise	256	0	1	0.0100032704218837	0.390444903494154	10	8	0.0196524633200127	416	13154000	88
20220608 014111	0	0	0	1	auto	depthwise	256	0	1	0.0204710992893456	0.561342084871442	6	2	0.0135210200439979	459	13143000	74
20220607 203025	0	0	0	1	auto	depthwise	256	0	1	0.0485081201370766	0.990239655382593	5	2	0.0137506418648039	271	13136000	51
20220607 200651	0	0	0	1	auto	depthwise	256	0	1	0.0214381515922002	0.506751453916169	10	30	0.0132131165050239	138	13126000	49
20220606 233256	0	0	0	1	auto	depthwise	256	0	1	0.0885717297728233	0.848307070865458	9	4	0.0174793427722081	107	13119000	21
20220607 011120	0	0	0	1	auto	depthwise	256	0	1	0.0883309528647562	0.871607381535013	9	4	0.0174050363063555	100	13118000	23
20220608 021944	0	0	0	1	auto	depthwise	256	0	1	0.0101007026967458	0.337651275859502	6	20	0.0139475313799155	285	13105000	76
20220608 031831	0	0	0	1	auto	depthwise	256	0	1	0.0148612582253923	0.999346337104836	10	14	0.0128184221229354	133	13052000	78
20220608 054003	0	0	0	1	auto	depthwise	256	0	1	0.0119598430662995	0.32383080353857	6	8	0.0174977032415827	352	13042000	90
20220608 095714	0	0	0	1	auto	depthwise	256	0	1	0.0166824000111806	0.637978603699381	2	3	0.0175276663672446	361	13032000	110
20220608 103544	0	0	0	1	auto	depthwise	256	0	1	0.0100509174907337	0.642106140031165	6	21	0.0131956743930794	170	13026000	111
20220607 131245	0	0	0	1	auto	depthwise	256	0	1	0.0107661413364568	0.56430126389164	9	2	0.0175422595010677	1587	13021000	30
20220607 125444	0	0	0	1	auto	depthwise	256	0	1	0.01002210018119	0.281186354826175	5	2	0.0170081785139782	1089	13017000	29
20220606 233502	0	0	0	1	auto	depthwise	256	0	1	0.0793710886445244	0.566137569462015	7	2	0.0167443874683147	119	13009000	22
20220607 182515	0	0	0	1	auto	depthwise	256	0	1	0.057424821990166	0.750552846368719	10	2	0.0142452061854601	153	12994000	43
20220607 191134	0	0	0	1	auto	depthwise	256	0	1	0.01006113003289	0.676216535413287	8	28	0.0148030968327197	273	12983000	45
20220608 015409	0	0	0	1	auto	depthwise	256	0	1	0.0316476439338976	0.998631092327324	6	9	0.0126158422509375	47	12967000	75
20220606 214752	0	0	0	1	auto	depthwise	256	0	1	0.100424169608625	0.392881143158302	9	5	0.0149994600481781	36	12966000	5
20220607 182013	0	0	0	1	auto	depthwise	256	0	1	0.299958316790281	0.21526467533348	10	2	0.014218826793502	56	12964000	41
20220607 212309	0	0	0	1	auto	depthwise	256	0	1	0.010043394703089	0.494064483062646	4	2	0.0140285785144354	889	12957000	56
20220608 091803	0	0	0	1	auto	depthwise	256	0	1	0.0100352017920836	0.577070462739076	1	7	0.015252235699081	269	12948000	104
20220608 092033	0	0	0	1	auto	depthwise	256	0	1	0.129042241600205	0.99992582683906	10	2	0.0123770907168052	88	12916000	105
20220608 113523	0	0	0	1	auto	depthwise	256	0	1	0.010431250224229	0.870839873092785	6	30	0.0132237486959702	217	12914000	112
20220607 015554	0	0	0	1	auto	depthwise	256	0	1	0.0100519994742991	0.303585818744865	5	2	0.0171836834412807	724	12906000	28
20220607 011617	0	0	0	1	auto	depthwise	256	0	1	0.081121615992104	0.62604384256906	7	5	0.0156668216842082	122	12885000	24
20220608 044219	0	0	0	1	auto	depthwise	256	0	1	0.0505597036952812	0.201311322421087	1	3	0.0133672950403831	160	12863000	85
20220608 094723	0	0	0	1	auto	depthwise	256	0	1	0.0518244941983565	0.618791881118517	9	7	0.01282433971665	43	12851000	109
20220607 014736	0	0	0	1	auto	depthwise	256	0	1	0.0100178679226275	0.931430308462862	8	2	0.0120219922872325	1124	12818000	27
20220608 082823	0	0	0	1	auto	depthwise	256	0	1	0.0105600560395185	0.295859792089255	2	4	0.0220091272300505	1604	12806000	99
20220608 063358	0	0	0	1	auto	depthwise	256	0	1	0.200273194364759	0.546087014968635	10	2	0.0129821627326033	72	12781000	93
20220608 072255	0	0	0	1	auto	depthwise	256	0	1	0.0198995322867436	0.999996629120478	10	10	0.0188022212010122	360	12758000	95
20220607 172634	0	0	0	1	auto	depthwise	256	0	1	0.0102349407470866	0.923310011296323	9	30	0.0164145816836819	196	12754000	37
20220607 233349	0	0	0	1	auto	depthwise	256	0	1	0.055207201812023	0.999837174141398	10	4	0.0220593055856752	80	12752000	63
20220608 080643	0	0	0	1	auto	depthwise	256	0	1	0.0187685902474339	0.221520748730606	10	5	0.0239886762977288	626	12744000	98
20220608 011608	0	0	0	1	auto	depthwise	256	0	1	0.0182538158884386	0.795482690334537	6	2	0.0117230370766867	255	12739000	72
20220607 204637	0	0	0	1	auto	depthwise	256	0	1	0.0396504854867327	0.551126422464213	5	2	0.0194709869180568	499	12716000	53
20220608 035238	0	0	0	1	auto	depthwise	256	0	1	0.0100220840090205	0.435020168149288	10	16	0.0205527506562085	558	12714000	79
20220607 181929	0	0	0	1	auto	depthwise	256	0	1	0.070114472743206	0.55249828035451	9	30	0.0138396246936786	34	12705000	40
20220608 063233	0	0	0	1	auto	depthwise	256	0	1	0.0102427567674436	0.409433145233761	9	30	0.0205908315468714	452	12670000	92
20220607 150109	0	0	0	1	auto	depthwise	256	0	1	0.0103581800872617	0.999845739324978	6	21	0.0150130065716502	245	12654000	32
20220607 012137	0	0	0	1	auto	depthwise	256	0	1	0.0842267697400948	0.588145655367415	10	12	0.0186413909147721	37	12622000	25
20220608 001708	0	0	0	1	auto	depthwise	256	0	1	0.23543843473325	0.999256666160768	10	2	0.01773849212048	82	12603000	66
20220607 012612	0	0	0	1	auto	depthwise	256	0	1	0.100322626108245	0.811110589507427	8	2	0.020869134500269	267	12598000	26
20220606 230137	0	0	0	1	auto	depthwise	256	0	1	0.0548907381682657	0.813744428968057	8	9	0.0215804321798108	88	12592000	13
20220607 182205	0	0	0	1	auto	depthwise	256	0	1	0.299988530422092	0.999696253352628	10	2	0.0135231021289928	66	12586000	42
20220608 085515	0	0	0	1	auto	depthwise	256	0	1	0.0274005883485761	0.573214906684728	9	4	0.0113750572282138	49	12505000	103
20220607 182623	0	0	0	1	auto	depthwise	256	0	1	0.299777971483673	0.350465398248221	9	2	0.0179082872497588	76	12474000	44
20220607 163437	0	0	0	1	auto	depthwise	256	0	1	0.0151702441549845	0.537749224806982	9	25	0.00833713048428096	24	12234000	36
20220607 191416	0	0	0	1	auto	depthwise	256	0	1	0.299925480619852	0.489231621617806	10	18	0.0125217343244817	7	11911000	46
20220606 232811	0	0	0	1	auto	depthwise	256	0	1	0.0800268170300405	0.563395434748381	4	27	0.0170868711182266	25	11588000	20
20220606 231113	0	0	0	1	auto	depthwise	256	0	1	0.252489419917343	0.739324116054922	6	11	0.0132308332050646	18	11557000	16
20220608 001501	0	0	0	1	auto	depthwise	256	0	1	0.29858842037832	0.380234206426838	10	2	0.00833723853511077	88	11077000	65
20220606 212825	0	0	0	1	auto	depthwise	256	0	1	0.13904859486199	0.687655073739588	8	21	0.0246419444064183	19	10752000	1
20220606 213457	0	0	0	1	auto	depthwise	256	0	1	0.271179648532183	0.604492791946977	4	19	0.0115204268600792	2	10746000	3
20220606 230716	0	0	0	1	auto	depthwise	256	0	1	0.124623185479199	0.250277230488136	10	16	0.0296966270063422	20	10281000	15
20220606 231803	0	0	0	1	auto	depthwise	256	0	1	0.085071093515493	0.207578670736402	0	2	0.0334590953963925	167	10167000	18
20220606 214547	0	0	0	1	auto	depthwise	256	0	1	0.0433479659238365	0.947260099286214	5	7	0.0372107325412799	104	9738000	4
20220606 215728	0	0	0	1	auto	depthwise	256	0	1	0.218288212855696	0.483528142590076	7	24	0.0267142783966847	7	9443000	7
20220606 213116	0	0	0	1	auto	depthwise	256	0	1	0.187252094097552	0.659589686011895	6	6	0.0329436843036092	34	8858000	2
20220606 215408	0	0	0	1	auto	depthwise	256	0	1	0.159815830750274	0.856464212983847	3	12	0.0288472640323259	26	8584000	6
20220606 225211	0	0	0	1	auto	depthwise	256	0	1	0.236746393057168	0.296480232151225	2	14	0.0192297929320678	17	8557000	12
20220606 224942	0	0	0	1	auto	depthwise	256	0	1	0.0170110723358812	0.774566777395085	10	19	0.0440072559620603	199	8240000	11
20220606 231959	0	0	0	1	auto	depthwise	256	0	1	0.20761005247233	0.986981943920255	3	3	0.047475740510951	22	7798000	19
20220606 221432	0	0	0	1	auto	depthwise	256	0	1	0.0258543215444079	0.548843580745161	5	22	0.0418983561156589	94	7558000	8
20220606 231639	0	0	0	1	auto	depthwise	256	0	1	0.269864851814113	0.919830426638946	8	25	0.0491938218663563	10	6636000	17
20220606 230501	0	0	0	1	auto	depthwise	256	0	1	0.287629624349065	0.470431599412113	1	29	0.0391043330271107	1	5987000	14
20220606 221822	0	0	0	1	auto	depthwise	256	0	1	0.147881467933301	0.402121783718467	1	17	0.0411538595581078	9	5666000	9
20220606 222018	0	0	0	1	auto	depthwise	256	0	1	0.170687131206621	0.337189087513834	0	29	0.00979914255925299	1	3094000	10
