Feature	Gain	Cover	Frequency
cpayroll_trx	0.0752734683282345	0.0176302940215378	0.00514456219775697
mpasivos_margen	0.0717033619683647	0.0219195246802266	0.0271632884041568
ctrx_quarter	0.0629358517156553	0.0308956029348385	0.0368350653359399
Visa_msaldototal	0.0565834426102922	0.0157620349114854	0.0200637925712522
mcaja_ahorro	0.0328630583379087	0.017856610627409	0.0301471344788559
mpayroll	0.0324358663541415	0.0259163069970833	0.00977466817573825
mcuentas_saldo	0.0319193825412443	0.0297312796368683	0.0303529169667661
Visa_msaldopesos	0.0306377392642036	0.014687451808163	0.0181088589361045
mprestamos_personales	0.0279497505671037	0.018438962626793	0.00514456219775697
mtarjeta_visa_consumo	0.0269110119301807	0.0147862987666326	0.022121617450355
mactivos_margen	0.0256075643972407	0.0242401465040862	0.0239736598415475
Master_Fvencimiento	0.0223368850051818	0.0215228394581029	0.0275748533799774
mrentabilidad_annual	0.0222948242447907	0.0139876636310887	0.0245910073052783
ctarjeta_debito_trx	0.0219557149210256	0.0137340417614148	0.0171828377405083
cliente_edad	0.0189663062489721	0.0206790912780155	0.0262372672085606
ctarjeta_visa_trx	0.0180124498213898	0.0174296446641943	0.0190348801317008
Visa_Fvencimiento	0.01612728477187	0.012800613497332	0.0218129437184896
Visa_mconsumospesos	0.0156079107069126	0.012039898164941	0.0205782487910279
mcomisiones_otras	0.0155709393510547	0.0146526777958133	0.0217100524745344
Master_mfinanciacion_limite	0.0148137767032187	0.0122760879454509	0.0245910073052783
mrentabilidad	0.0144386395344426	0.0121720464247792	0.0200637925712522
mcuenta_corriente	0.013830384425153	0.0152760853707113	0.0180059676921494
Master_fechaalta	0.0136539857600784	0.0201387766614662	0.0244881160613232
chomebanking_trx	0.0121480177903071	0.0113954167971944	0.017697293960284
numero_de_cliente	0.0117928801831422	0.0108289540468991	0.0178001852042391
cliente_antiguedad	0.0112786477364	0.0124551475601803	0.0191377713756559
mtransferencias_recibidas	0.011079356720099	0.0076879771051349	0.0133758617141681
Visa_fechaalta	0.0109668483448981	0.0115281411174504	0.0186233151558802
Visa_mfinanciacion_limite	0.0106499789123642	0.0124411167320916	0.0166683815207326
Visa_mpagospesos	0.0106496464902325	0.0106941809552442	0.0193435538635662
Visa_mpagominimo	0.00928707886931879	0.0115241387498521	0.0168741640086429
ccomisiones_otras	0.0082397525118626	0.0127938009567392	0.0128614054943924
mcomisiones	0.00819546108935372	0.00996760847335383	0.0145076653976747
mcaja_ahorro_dolares	0.00814989765563705	0.0148925443445549	0.0150221216174504
mautoservicio	0.0080377228032051	0.018898738987716	0.0220187262063998
ccomisiones_mantenimiento	0.00781672629902823	0.0163052949499969	0.00627636588126351
Visa_mconsumototal	0.00752595943960985	0.00694511964569499	0.0119353842987962
mcomisiones_mantenimiento	0.00751688454055787	0.0146675952560232	0.00936310319991769
Visa_cconsumos	0.00743551749357287	0.00897605821772778	0.0144047741537195
mtransferencias_emitidas	0.00742900747987667	0.0119330013882856	0.0137874266899887
mtarjeta_visa_debitos_automaticos	0.00683921518287868	0.00998681883598146	0.0129642967383476
Master_status	0.00651228033631094	0.0108476634874243	0.00226360736701307
Visa_mlimitecompra	0.00647149062255309	0.0118487362722173	0.0107006893713345
cproductos	0.00633153161256132	0.00611349378048606	0.00617347463730837
ctransferencias_recibidas	0.00621724485617047	0.0141300357110372	0.0104949068834242
mcuenta_debitos_automaticos	0.0061805740002898	0.00847105360017774	0.0120382755427513
thomebanking	0.00602612307223201	0.00342999897641578	0.00411564975820558
Master_mlimitecompra	0.00570864192024902	0.00766544562896826	0.00977466817573825
ctransferencias_emitidas	0.00546606856504109	0.0130393329344591	0.00874575573618685
mextraccion_autoservicio	0.00507032773176211	0.0112658983783939	0.0131700792262578
Master_mpagominimo	0.00482075417532246	0.00611309304280412	0.00524745344171211
mpagomiscuentas	0.00433889468139477	0.00986539531835598	0.00823129951641115
cextraccion_autoservicio	0.00423047910559683	0.00502714401697789	0.0073052783208149
ctarjeta_visa_debitos_automaticos	0.00415573104732131	0.00433795034236974	0.00545323592962239
ccallcenter_trx	0.00414256498440764	0.00647326605288281	0.00246938985492335
Master_mpagospesos	0.00405545145867708	0.0144042104145733	0.00771684329663546
