Feature	Gain	Cover	Frequency
ccomisiones_mantenimiento_delta1	0.00341905020117362	0.00459374833830002	0.00147385228140051
mcaja_ahorro_dolares_lag1	0.00331409353764038	0.00378693385894752	0.00600068428855922
mtransferencias_recibidas_lag1	0.00328174563358819	0.00538090884186524	0.00679024801073807
cproductos	0.00326330276483162	0.00666658205477144	0.00698325247615956
chomebanking_trx_lag1	0.00318220802064806	0.00305478794346135	0.00688675024344881
Visa_cconsumos_lag1	0.00304029999179872	0.0041421275579705	0.00569363172993412
mpasivos_margen_lag1	0.00302344672957236	0.00419954887121556	0.00635160149841649
Visa_mpagospesos	0.00301400433689609	0.00505261323553334	0.00685165852246309
mcaja_ahorro_dolares	0.00299005042578366	0.00565421464561192	0.00579890689289129
mcomisiones	0.00298838780151803	0.00374331131306394	0.00521989349662681
Master_fultimo_cierre	0.00297386932360768	0.00301237466877695	0.00570240466018055
ccomisiones_mantenimiento	0.00297043341912242	0.00332548528500398	0.00130716660671831
Visa_mpagominimo_delta1	0.00294562202758776	0.00355436896130127	0.00532516865958399
mcomisiones_otras	0.00292494571595217	0.00251999287770495	0.0050795266126839
Visa_mconsumospesos	0.00292384180237833	0.00268192165018762	0.00631650977743076
Master_fultimo_cierre_lag1	0.00289130134007829	0.00427014095033127	0.0061059594515164
Visa_mfinanciacion_limite_lag1	0.00288838868908235	0.0027514911550283	0.00508829954293034
mprestamos_personales_lag1	0.00287692931304154	0.0027248635541817	0.00141244176967549
Visa_Finiciomora	0.00287218640352122	0.00549109379063168	0.00110538921105038
cprestamos_personales	0.00283683559545743	0.00300282964465141	0.00110538921105038
thomebanking	0.00282397280665843	0.00181990542542027	0.00170194846780773
Visa_mconsumospesos_lag1	0.00278584419461827	0.00269519117435723	0.00575504224165914
mpasivos_margen_delta1	0.00278490998890166	0.00342832866306732	0.00594804670708063
mtarjeta_visa_consumo_lag1	0.00277402579451585	0.00428115192515096	0.00343021572635476
Visa_fultimo_cierre_lag1	0.00268822506599118	0.00330550625859169	0.00604454893979138
Visa_msaldopesos	0.00264673762394053	0.00275837008875824	0.00483388456578382
mtarjeta_visa_debitos_automaticos_lag1	0.00248971081325636	0.00446944755201568	0.00450051321641942
ccomisiones_otras	0.00245613575157663	0.00483244016398093	0.00430750875099792
Visa_mconsumospesos_delta1	0.00238968078664394	0.0034860018982203	0.00532516865958399
