Feature	Gain	Cover	Frequency
ccuenta_debitos_automaticos	0.000180724136785953	0.00620907973510683	0.00398009950248756
minversion2	0.00017433304267252	0.00665633588392669	0.00248756218905473
Visa_Finiciomora	0.000171333259110547	0.003788732046955	0.00298507462686567
mplazo_fijo_dolares	0.000171247853995245	0.00770959146796324	0.00497512437810945
Visa_msaldodolares	0.000167686933653622	0.00426518861749424	0.0054726368159204
mprestamos_personales	0.000157813066668935	0.0159424100577135	0.0139303482587065
cpayroll_trx	0.000154830530788379	0.0428562437847084	0.0104477611940299
Master_mpagominimo	0.00015306300071663	0.00213072394011991	0.00646766169154229
cpagomiscuentas	0.000150206942360258	0.033866436001472	0.0114427860696517
mtarjeta_visa_descuentos	0.000130853286346494	0.0118228154683884	0.00696517412935323
mpagomiscuentas	0.000126542462899294	0.0105531639019671	0.00746268656716418
cforex	0.000106908991505401	0.000109229527829181	0.00099502487562189
Visa_mlimitecompra	0.000104526925360256	0.00363332141738484	0.00298507462686567
mtarjeta_visa_consumo	0.000103033493232396	0.00242896271940444	0.00597014925373134
mcuenta_debitos_automaticos	0.000102838606780144	0.00392231037364025	0.00597014925373134
ctarjeta_visa_debitos_automaticos	9.59914271984544e-05	0.00599934906637546	0.00597014925373134
catm_trx_other	8.95864280355462e-05	0.0154152154873233	0.00796019900497512
cproductos	8.05538290753536e-05	0.00985346466631082	0.0114427860696517
Master_mlimitecompra	6.35500609899747e-05	0.00214264895706432	0.00248756218905473
ctarjeta_visa_descuentos	4.99054560482988e-05	0.00411301996021125	0.00149253731343284
Visa_mpagosdolares	4.04614652938181e-05	0.00198011959114331	0.00497512437810945
mcheques_depositados	3.98989414812691e-05	0.0016836945026488	0.00199004975124378
ccallcenter_trx	3.98877280666067e-05	0.00280090535816856	0.00597014925373134
Master_msaldototal	3.66101016733278e-05	1.43281572411877e-05	0.00149253731343284
internet	3.56333239680728e-05	0.00335147386861515	0.00348258706467662
Master_cconsumos	3.33459015344405e-05	0.00806877025779257	0.00646766169154229
mcomisiones_mantenimiento	3.28790921186891e-05	0.00294157975006978	0.00796019900497512
