Feature	Gain	Cover	Frequency
ccomisiones_mantenimiento	0.00162595732893066	0.00162838306269185	0.00278551532033426
Visa_mconsumosdolares	0.00160686664534503	0.00174938019014717	0.00389972144846797
cmobile_app_trx	0.001598376905791	0.00198816990772238	0.00445682451253482
Master_mconsumospesos	0.00130055902128421	0.00291877788714697	0.00334261838440111
Master_msaldodolares	0.00120703615205628	0.000896960337402635	0.0011142061281337
cextraccion_autoservicio	0.00113949375744611	0.000726034450817956	0.00167130919220056
mtarjeta_master_consumo	0.00109775550296618	0.00295853740884497	0.00278551532033426
ctransferencias_emitidas	0.00107741248981878	0.00256126522990288	0.00334261838440111
matm	0.00106739433187645	0.00367639253654468	0.00278551532033426
Visa_fultimo_cierre	0.00102477365966385	0.00163777700883239	0.00278551532033426
ctarjeta_visa_debitos_automaticos	0.00100188584221352	0.00262177671515205	0.00334261838440111
Master_cconsumos	0.000933118821007195	0.00714747501775643	0.00445682451253482
catm_trx	0.000852399616659769	0.0039558979684099	0.00167130919220056
Master_mpagominimo	0.000792410807597795	0.00321102393922481	0.00334261838440111
tcallcenter	0.000696696730429254	0.00245917228842226	0.0011142061281337
mextraccion_autoservicio	0.000575196463388038	0.0029785916102344	0.00167130919220056
mtarjeta_visa_descuentos	0.000533426200152916	0.00691404773160945	0.00445682451253482
Master_fultimo_cierre	0.000502056576798883	0.000661323471076796	0.00167130919220056
cplazo_fijo	0.000438233367231647	0.00402562249849842	0.0011142061281337
Master_mpagosdolares	0.000285698750348777	0.00064678675937376	0.0011142061281337
Visa_msaldodolares	0.000171069584578735	0.000260110228072995	0.000557103064066852
ctarjeta_visa_descuentos	0.00014005795634551	0.00243763211205874	0.00167130919220056
Visa_mpagosdolares	0.000136396856475268	0.00154839884452137	0.0011142061281337
Master_mconsumosdolares	1.23824725973699e-05	0.000344281019213954	0.0011142061281337
