"LA IMPORTANCIA ESTA EN EL ORDEN QUE SALEN LAS VBLES - vendría a ser la ganancia total que ""genera"" el corte con esa variable"				
Feature	Gain	Cover	Frequency	
mpasivos_margen_lag1	0.00300841191354241	0.00476698397814415	0.00619943259430493	
mcomisiones_otras	0.00299740016806025	0.00357962271672045	0.00526251269657805	
mcaja_ahorro_dolares	0.0029501041176208	0.00502055800601482	0.00580540086161606	
Visa_Finiciomora	0.00293029657127715	0.00583845403506714	0.00130468284823649	
Visa_msaldototal	0.00290704740280037	0.00323530032033137	0.00471962453154005	
Visa_mconsumospesos	0.00282325663042475	0.00277124581246865	0.00597176981541802	
Visa_mconsumospesos_lag1	0.00282121098969099	0.0023385491764372	0.00565654442926693	
Master_fultimo_cierre	0.00280962941093329	0.00253605031632039	0.00532380652166299	
thomebanking	0.00274733997173019	0.00167227200490439	0.00161990823438759	
mtarjeta_visa_consumo_lag1	0.00273479752821327	0.0048452222258345	0.00345872298693566	
Visa_mpagominimo_delta1	0.00272195574239129	0.00323159186106036	0.00549017547546496	
ccomisiones_otras	0.00259723451437573	0.00441117560094277	0.00473713705299289	
Visa_mfinanciacion_limite_lag1	0.00259066529618068	0.00223905895406104	0.00503484991769115	
mpayroll_lag1	0.00247012414839501	0.00502521223659216	0.00402787993415292	
mcuenta_debitos_automaticos	0.00246025908263103	0.00797524579521164	0.0037038982872754	
Visa_cconsumos	0.00243866164495424	0.00306524136658671	0.00513992504640818	
Visa_fultimo_cierre_lag1	0.00242461632028365	0.00247076765370125	0.00553395677909705	
mtarjeta_visa_debitos_automaticos_lag1	0.00237537543996134	0.00532051217906413	0.00442191166684179	
mtransferencias_emitidas	0.00237138144093595	0.00825193400940182	0.00640082659101257	
Visa_mlimitecompra_lag1	0.00234377212312059	0.0034646998164396	0.00380897341599243	
cmobile_app_trx	0.00233958175322806	0.00305705168368465	0.00478091835662499	
mcomisiones_mantenimiento_lag1	0.00227289641927736	0.00574011627573975	0.00394031732688873	
ccomisiones_mantenimiento	0.00225098058874802	0.00304842570247039	0.00130468284823649	
Visa_mconsumospesos_delta1	0.00224660177777345	0.00339160694045885	0.00492977478897412	
Visa_mconsumosdolares_lag1	0.00223751719405122	0.00337081456082635	0.00497355609260621	
