fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220523 130739	0.0549266344038188	4652	676	10	5	0	1
20220523 130811	-0.0788060798964579	5134	790	18	5	8563000	2
20220523 130846	-0.491956730865058	5677	342	13	5	8685000	3
20220523 130923	-0.270564065632061	3215	240	11	5	9591000	4
20220523 130942	-0.598247543926118	7776	1156	4	5	8237000	5
20220523 131013	-0.904639996278274	4181	968	12	5	9311000	6
20220523 131032	0.0238600446304191	3534	1041	14	5	0	7
20220523 131058	-0.328621806218871	7099	1741	20	5	8152000	8
20220523 131114	-0.813512803337653	2956	120	3	5	8364000	9
20220523 131140	-0.207705721266393	6989	481	9	5	8152000	10
20220523 131202	-0.763581209098629	6105	1950	6	5	8023000	11
20220523 131232	-0.152497184230015	4693	1522	12	5	8613000	12
20220523 131316	-0.93259073543828	4996	39	19	5	7390000	13
20220523 131331	-0.0147867400525137	1406	424	3	5	8357000	14
20220523 131358	-0.673842619229108	7014	1717	16	5	8152000	15
20220523 131426	-0.722297705081292	6635	1825	14	5	8165000	16
20220523 131442	-0.0899580495102985	190	16	3	5	8070000	17
20220523 131521	-0.160117717325053	4087	290	20	5	8776000	18
20220523 131537	-0.877997740629447	4013	1997	3	5	7528000	19
20220523 131611	-0.257377531768664	1827	903	16	5	10810000	20
20220523 131641	-0.252346735542017	3968	1974	20	5	8321000	21
20220523 131725	-0.291708125798608	534	267	16	5	9395000	22
20220523 131759	-0.236659457038304	1899	948	14	5	10699000	23
20220523 131831	-0.256286945269494	4936	900	15	5	8692000	24
20220523 131920	-0.249084508326133	39	17	13	5	6335000	25
20220523 131950	-0.326200764300744	2002	996	8	5	10567000	26
20220523 132025	-0.301504084821726	1963	960	20	5	10677000	27
20220523 132045	-0.280354062169625	2009	979	4	5	9790000	28
20220523 132124	-0.371404056276899	2089	561	16	5	10881000	29
20220523 132202	-0.326590001968545	2100	633	15	5	10693000	30
20220523 132236	-0.419348183713074	2413	1206	12	5	9619000	31
20220523 132318	-0.613831304960449	742	371	17	5	9408000	32
20220523 132350	-0.381364654725979	2285	328	8	5	10481000	33
20220523 132427	-0.146809956811082	1567	781	19	5	10543000	34
20220523 132444	-0.107700115682043	2120	784	3	5	8197000	35
20220523 132519	-0.199312182913546	2125	1049	19	5	10153000	36
20220523 132553	-0.2871165615842	2056	1018	13	5	10624000	37
20220523 132630	-0.351292580841236	1666	831	18	5	10954000	38
20220523 132707	-0.774510885515838	1757	877	20	5	10903000	39
20220523 132747	-0.379488556315801	1293	533	13	5	10238000	40
20220523 132822	-0.692908340431256	2218	893	20	5	10823000	41
20220523 132856	-0.767083298639128	2846	1003	20	5	10494000	42
20220523 132929	-0.733816390689215	1907	949	13	5	10699000	43
20220523 133010	-0.357908429560287	1923	239	20	5	10495000	44
20220523 133046	-0.735101596193076	2041	559	20	5	10909000	45
20220523 133122	-0.553453077974565	2626	415	19	5	10212000	46
20220523 133156	-0.888248608439107	2096	882	20	5	10825000	47
20220523 133230	-0.8159746903743	2200	788	19	5	10729000	48
20220523 133320	-0.999968143136772	1829	909	20	5	10912000	49
20220523 133359	-0.950731196552832	1194	597	19	5	9689000	50
20220523 133432	-0.992356588898212	2421	1210	20	5	9625000	51
20220523 133502	-0.138267753756617	6039	1407	20	5	8290000	52
20220523 133529	-0.99972951062868	1835	875	7	5	11015000	53
20220523 133604	-0.999868114679173	1956	746	13	5	10793000	54
20220523 133640	-0.680550532523534	3746	632	20	5	9347000	55
20220523 133713	-0.942203088109981	1846	922	11	5	10867000	56
20220523 133750	-0.193701227717072	1167	572	19	5	10082000	57
20220523 133824	-0.604820379627631	1874	826	20	5	10808000	58
20220523 133859	-0.489572527129308	1900	727	19	5	10793000	59
20220523 133933	-0.737810401381779	1992	811	20	5	10847000	60
20220523 134010	-0.659859497409851	1892	533	18	5	10725000	61
20220523 134059	-0.155891913826492	5489	2	20	5	8073000	62
20220523 134115	-0.879275966104102	1829	912	3	5	8214000	63
20220523 134149	-0.550756950536906	1928	519	11	5	10699000	64
20220523 134242	-0.76793711652901	2070	7	20	5	9537000	65
20220523 134317	-0.709258128974505	2435	579	14	5	10668000	66
