fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220606 073524	-0.588936831116785	1809	887	6	5	1.1e+07	188
20220605 224639	-0.486171726090133	1823	873	7	5	11015000	121
20220605 224440	-0.154104985016208	1829	886	7	5	11014000	116
20220606 071801	-0.147706506000796	1836	889	14	5	11013000	160
20220606 071952	-0.154110365900282	1785	884	14	5	11002000	163
20220606 073047	-0.856616144169704	1784	883	10	5	11002000	181
20220606 073557	-0.603225993381609	1807	883	7	5	11002000	189
20220605 224806	-0.501555908418679	1794	880	7	5	10997000	124
20220605 224547	-0.141378857142942	1775	872	7	5	10996000	119
20220605 223922	-0.492649322415869	2064	884	14	5	10967000	105
20220605 224040	-0.14955416912648	2067	873	20	5	10967000	108
20220605 224314	-0.391618214117649	2080	869	14	5	10961000	113
20220606 071913	-0.142564249076729	1856	880	13	5	10947000	162
20220606 072549	-0.954435286760103	1842	880	7	5	10947000	173
20220605 221018	-0.68371461277932	1973	872	14	5	10946000	51
20220605 223204	-0.833773754220403	1886	873	14	5	10946000	90
20220605 223626	-0.758766433724668	1943	874	10	5	10946000	99
20220605 224110	-0.148473014618585	1881	881	9	5	10946000	109
20220605 224239	-0.232398233326038	1963	877	7	5	10946000	112
20220605 225338	-0.978167532667036	1920	875	9	5	10946000	136
20220605 225530	-0.820792166174111	1913	881	7	5	10946000	140
20220605 225649	-0.999857562159246	1856	881	7	5	10946000	142
20220606 071130	-0.227197099393594	1928	881	20	5	10946000	154
20220606 071243	-0.393554153315725	1904	875	10	5	10946000	155
20220606 072629	-0.762417477056748	1884	875	14	5	10946000	174
20220606 073010	-0.149453505041211	1858	875	15	5	10946000	180
20220606 073456	-0.853403947775249	1848	877	9	5	10946000	187
20220606 073705	-0.495959640366411	1840	872	14	5	10946000	191
20220605 220455	-0.953714027097027	1892	886	17	5	10945000	40
20220605 223129	-0.498593891716714	1923	878	9	5	10945000	89
20220605 223511	-0.99110924283827	1869	878	12	5	10945000	96
20220605 225604	-0.271628497279816	1877	878	13	5	10945000	141
20220606 070555	-0.998666590012089	1920	878	8	5	10945000	146
20220606 070630	-0.22403050461249	1854	885	11	5	10945000	147
20220606 074026	-0.840220475731406	1842	886	11	5	10945000	197
20220605 224007	-0.500884740864824	1944	879	6	5	10944000	107
20220605 225504	-0.999867338832209	1887	871	20	5	10940000	139
20220605 224927	-0.149016684931325	2030	875	7	5	10935000	127
20220606 072100	-0.489532735298908	1984	884	7	5	10935000	165
20220605 224209	-0.612487819263361	2012	878	14	5	10934000	111
20220605 225151	-0.274816660130419	2019	886	20	5	10934000	132
20220605 225739	-0.487747446101535	1990	879	12	5	10933000	143
20220605 223019	-0.841707994303204	1876	870	13	5	10930000	87
20220605 223437	-0.999975540769224	1862	870	10	5	10930000	95
20220605 224347	-0.239298382271126	1931	869	14	5	10930000	114
20220605 224413	-0.382606894360494	1925	869	7	5	10930000	115
20220605 225431	-0.132629770013125	1837	918	7	5	10919000	138
20220605 221803	-0.954181451041528	1832	861	16	5	10911000	65
20220605 224613	-0.490236844934616	2047	562	7	5	10909000	120
20220606 070705	-0.395281567171265	2030	584	10	5	10909000	148
20220606 071606	-0.401708249757732	2052	566	7	5	10909000	158
20220605 220919	-0.969577044041338	1763	881	17	5	10903000	49
20220605 221658	-0.406819602755904	1951	799	14	5	10903000	63
20220605 222203	-0.394949860686163	1759	877	8	5	10903000	73
20220606 073202	-0.986648857114161	1754	876	8	5	10903000	183
20220605 223818	-0.397417208503872	2057	683	7	5	10902000	103
20220605 221441	-0.288598983246084	1967	788	14	5	10898000	59
20220605 222027	-0.391941790587078	1954	794	9	5	10898000	70
20220605 215811	-0.969388680507353	1825	899	20	5	10888000	30
20220606 072750	-0.68648188062357	2302	567	20	5	10881000	176
20220605 220616	-0.969516680779524	1793	892	14	5	10878000	43
20220606 072902	-0.149088508208403	1808	896	20	5	10878000	178
20220605 222134	-0.62495603592774	1853	925	14	5	10867000	72
20220605 221624	-0.597580648836516	1884	810	14	5	10858000	62
20220605 221956	-0.80773264482472	1872	808	14	5	10858000	69
20220606 072245	-0.761420055740376	2170	529	16	5	10850000	168
20220606 073128	-0.625000681447749	2251	529	15	5	10850000	182
20220606 071721	-0.395180680385094	2034	767	15	5	10847000	159
20220606 072710	-0.480213650430676	2123	539	14	5	10847000	175
20220606 073837	-0.589213730222866	2119	532	10	5	10847000	194
20220605 222233	-0.79295465809491	1841	909	9	5	10843000	74
20220605 222444	-0.688710502933709	1875	928	20	5	10840000	78
20220605 221922	-0.956055450930262	1926	906	19	5	10839000	68
20220605 222719	-0.821788192783038	1987	912	10	5	10832000	82
20220605 223240	-0.939251793455057	1842	863	14	5	10826000	91
20220606 072030	-0.955894641876042	1915	864	18	5	10826000	164
20220605 225307	-0.483222145305114	2087	874	20	5	10825000	135
20220606 073912	-0.635736673823654	2149	873	20	5	10825000	195
20220605 215333	-0.980233476249762	2154	831	16	5	10824000	24
20220606 071505	-0.746499229397089	2102	878	20	5	10824000	157
20220605 222302	-0.151682542797788	2073	649	8	5	10823000	75
20220605 221202	-0.663392254186745	1887	896	15	5	10822000	54
20220605 224507	-0.684531614330217	1863	891	7	5	10822000	117
20220605 222518	-0.689035776788525	1866	897	17	5	10821000	79
20220605 222411	-0.780299107311857	1839	899	15	5	10819000	77
20220606 072822	-0.988028112195314	2236	871	7	5	10819000	177
20220605 221408	-0.709029199641607	2059	859	14	5	10815000	58
20220605 222551	-0.559930932612338	2000	893	14	5	10812000	80
20220605 222101	-0.678367214788717	1972	825	14	5	10808000	71
20220605 224954	-0.390243084226377	2355	514	7	5	10805000	128
20220606 072931	-0.593723153438931	2101	525	6	5	10805000	179
20220605 220649	-0.834218881489012	1805	901	16	5	10797000	44
20220605 221515	-0.349863517224375	2069	824	14	5	10797000	60
