fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220606 072328	-0.686258925361988	2162	472	20	5	10795000	169
20220605 221549	-0.207097581380733	1919	733	14	5	10793000	61
20220605 221728	-0.26136570260467	1899	750	9	5	10793000	64
20220605 224739	-0.861078733749218	1928	754	17	5	10793000	123
20220605 224859	-0.490550003381173	1824	667	7	5	10788000	126
20220605 220348	-0.738734212742693	1699	824	14	5	10785000	38
20220605 220724	-0.638324308582401	2055	712	14	5	10782000	45
20220605 222756	-0.603450780582463	2075	733	20	5	10782000	83
20220605 223849	-0.406208413608492	2003	746	8	5	10782000	104
20220605 225027	-0.151494204893185	1637	794	12	5	10771000	129
20220605 224832	-0.305665995500258	1884	581	7	5	10763000	125
20220606 072204	-0.604142555208008	2149	452	9	5	10762000	167
20220605 214556	-0.370099067059345	1765	697	14	5	10745000	16
20220606 073244	-0.146676988447094	2105	683	14	5	10744000	184
20220605 220832	-0.526458565188231	1866	758	13	5	10741000	47
20220605 225053	-0.149912477820485	1613	802	7	5	10735000	130
20220605 215231	-0.703248846598965	2013	762	17	5	10730000	23
20220605 213607	-0.795905045986001	2324	816	13	5	10689000	2
20220605 221231	-0.584951699711133	2108	817	8	5	10689000	55
20220605 221129	-0.691097464243458	1967	696	13	5	10683000	53
20220605 224706	-0.775524776638316	1867	503	7	5	10677000	122
20220605 222832	-0.965049771440655	1995	933	16	5	10672000	84
20220605 220421	-0.232353203930724	2420	587	14	5	10668000	39
20220605 215435	-0.904382359006402	2145	824	16	5	10655000	25
20220605 222337	-0.15425120792601	1904	628	17	5	10651000	76
20220605 215704	-0.649158769850468	1688	842	11	5	10646000	28
20220605 214750	-0.802814359870542	1696	848	20	5	10615000	18
20220605 223752	-0.185997749327016	1954	625	9	5	10602000	102
20220605 220058	-0.451346365214722	2329	762	11	5	10572000	33
20220605 225823	-0.141440724010511	2178	215	7	5	10570000	144
20220605 220758	-0.25159789057056	2498	683	18	5	10505000	46
20220605 220314	-0.384281867840072	2062	1024	12	5	10491000	37
20220605 223722	-0.777085116280738	2264	140	8	5	10476000	101
20220605 221305	-0.185370338442712	2418	639	20	5	10454000	56
20220606 072517	-0.822438307280053	2137	404	9	5	10429000	172
20220605 223058	-0.754567417006855	2192	266	14	5	10422000	88
20220605 223311	-0.165698949227458	2087	419	9	5	10421000	92
20220605 220135	-0.320315231986732	2617	727	11	5	10385000	34
20220606 070524	-0.82031829299045	2856	466	7	5	10348000	145
20220605 215611	-0.222698029583343	1363	679	20	5	10255000	27
20220606 072415	-0.831966504643068	2205	166	20	5	10233000	170
20220605 222647	-0.754509466118255	2256	1	20	5	10103000	81
20220605 220542	-0.954843522046138	3108	823	20	5	9977000	42
20220605 214848	-0.404870249446901	2263	1131	20	5	9925000	19
20220605 213706	-0.149447181689902	3233	173	19	5	9744000	3
20220605 220242	-0.999916797153598	1212	595	20	5	9689000	36
20220605 215128	-0.218051566870373	2233	1113	5	5	9673000	22
20220605 220014	-0.179562335186804	3783	895	16	5	9670000	32
20220606 073627	-0.994952787909896	2241	1118	7	5	9637000	190
20220605 221846	-0.170518375494841	2091	3	8	5	9584000	67
20220605 220206	-0.999986366884521	2635	1306	20	5	9566000	35
20220605 223554	-0.151222580101586	2728	1360	8	5	9561000	98
20220606 072130	-0.141645539436886	3785	150	7	5	9467000	166
20220606 072441	-0.684306594740223	2848	1423	6	5	9399000	171
20220605 221335	-0.208559604267642	2919	1459	20	5	9358000	57
20220605 213751	-0.568274639673473	3999	982	16	5	9315000	4
20220605 214646	-0.550256206992088	2176	4	7	5	9147000	17
20220606 073324	-0.278101421244008	4221	569	20	5	9008000	185
20220605 221054	-0.966032444271871	2096	1	11	5	8936000	52
20220605 214453	-0.512562817591242	4372	1245	6	5	8906000	15
20220605 223653	-0.136569548628494	5531	650	8	5	8685000	100
20220605 214322	-0.199012795705348	6181	125	5	5	8647000	13
20220605 213821	-0.739098875752825	6304	740	6	5	8579000	5
20220605 215048	-0.806411774675155	13	3	13	5	8541000	21
20220605 213859	-0.719512814772315	4645	1696	11	5	8388000	6
20220605 214412	-0.779571182620712	3840	1693	11	5	8388000	14
20220605 215504	-0.39922560083609	940	466	3	5	8357000	26
20220605 214044	-0.63786959269928	4274	1966	20	5	8321000	9
20220606 071014	-0.119211180507855	3954	1975	20	5	8320000	153
20220605 223526	-0.140949618194447	1935	695	3	5	8317000	97
20220606 071348	-0.140508952768558	6094	1568	20	5	8290000	156
20220606 073802	-0.134295347478163	4908	1666	6	5	8283000	193
20220605 220944	-0.980084780626909	8000	1	8	5	8264000	50
20220605 214247	-0.886809583292343	7483	1023	15	5	8237000	12
20220605 222858	-0.631661697045421	7996	2000	8	5	8237000	85
20220605 223337	-0.999833739988355	7991	2000	20	5	8237000	93
20220605 223403	-0.112313110877088	8000	1998	20	5	8237000	94
20220605 223943	-0.0792056890429511	7998	2000	6	5	8237000	106
20220605 224136	-0.609792276854775	7999	1619	20	5	8237000	110
20220605 225119	-0.999753010410055	7998	1544	9	5	8237000	131
20220605 225234	-0.393852165992476	8000	874	20	5	8237000	134
20220606 070756	-0.999461142671304	7995	871	6	5	8237000	150
20220606 070820	-0.486489372218115	8000	205	6	5	8237000	151
20220606 071834	-0.755376569473204	7980	1999	14	5	8237000	161
20220606 073944	-0.102647251832676	8000	1219	20	5	8237000	196
20220605 215725	-0.999981346011791	1691	813	3	5	8197000	29
20220605 214004	-0.868276629269531	7317	501	18	5	8152000	8
20220606 073736	-0.485495816999294	7085	1422	14	5	8152000	192
20220605 222942	-0.68494636633439	7978	1	17	5	8101000	86
20220605 225405	-0.999914152943771	4003	1999	9	5	8045000	137
20220606 070911	-0.13406886960083	7999	1	20	5	8042000	152
20220605 213521	-0.365813310723752	5141	1853	14	5	8033000	1
20220606 070732	-0.814158270586892	4796	1	7	5	8016000	149
20220606 073418	-0.999613256313218	7994	13	20	5	7965000	186
20220605 214103	-0.0570808256801683	5570	1514	3	5	7773000	10
20220605 214159	-0.286603650530742	6562	54	13	5	7672000	11
20220605 220846	-0.205426849518416	7998	1476	3	5	7604000	48
20220605 221818	-0.999492838874513	8000	2000	3	5	7604000	66
20220605 224521	-0.801451417938182	7997	1	3	5	7604000	118
20220605 220510	-0.147820497429128	4004	1999	3	5	7528000	41
20220605 225207	-0.587867225174497	6332	1846	3	5	7517000	133
20220605 215930	-0.355973367012406	148	69	20	5	5072000	31
20220605 213920	0.0499018276444987	7725	298	4	5	0	7
20220605 214923	0.05006406404299	1348	674	14	5	0	20
